TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,Formation_Energy,Above_Hull,Band_Gap,Temp,Density,Volume,HasBandstructure,Crystal_System,Discharge_Time,Decrement,Max_Voltage_Discharging,Min_Voltage_Charging,Time_constant_current,Charging_time,RUL
233,450,161,940,1,1,1,-2.699,0.006,3.462,16,2.993,178.513,1,1,2595.3,1151.4885,3.67,3.211,6755.01,10777.82,1112
160,270,167,250,1,2,1,-2.696,0.008,2.879,32,2.926,365.272,1,1,7408.64,1172.5125,4.246,3.22,6762.02,10500.35,1111
210,400,181,620,1,1,1,-2.775,0.012,3.653,28,2.761,301.775,1,1,7393.76,1112.992,4.249,3.224,6762.02,10420.38,1110
180,360,206,560,1,2,1,-2.783,0.013,3.015,38,2.908,436.183,1,1,7385.5,1080.320667,4.25,3.225,6762.02,10322.81,1109
145,170,168,190,1,2,1,-2.747,0.016,2.578,36,3.334,421.286,1,1,65022.75,29813.487,4.29,3.398,53213.54,56699.65,1107
250,610,180,620,1,1,1,-2.763,0.024,3.293,14,2.792,149.207,1,1,3301.18,1194.235077,3.674,3.504,5977.38,5977.38,1106
150,190,168,220,1,3,1,-2.65,0.027,1.052,28,3.507,291.575,0,1,5955.3,1220.135329,4.013,3.501,5967.55,5967.55,1105
150,275,164,420,1,3,1,-2.676,0.029,3.384,32,2.927,365.179,0,1,5951.2,1220.135329,4.014,3.501,5962.21,5962.21,1104
225,310,153,650,1,2,1,-2.822,0.038,0.612,20,3.255,218.36,1,1,5945.44,1216.920914,4.014,3.501,5954.91,5954.91,1103
180,400,193,540,1,1,1,-2.823,0.04,3.447,22,2.7,271.853,1,1,435251.49,263086.078,4.267,3.086,443700.02,443700.02,1102
180,370,216,440,1,1,1,-2.66,0.044,2.785,32,2.977,358.984,1,1,3228.58,1135.349333,3.689,3.485,5969.89,5969.89,1101
144,220,164,230,1,3,2,-2.818,0.045,3.397,22,2.702,271.581,1,1,6019.9,1058.279724,4.045,3.475,5980.77,5980.77,1100
167,400,160,380,1,3,1,-2.697,0.049,2.461,52,3.047,636.288,1,1,6026.59,1049.487845,4.047,3.477,5966.82,5966.82,1099
